"","wl","temperature","value","hexvis"
"156",355,"1500",8.14718938594318e-06,"#4A1700"
"157",356,"1500",8.6671503317653e-06,"#4A1700"
"158",357,"1500",9.21673789723461e-06,"#4A1700"
"159",358,"1500",9.79742590471789e-06,"#4A1700"
"160",359,"1500",1.04107499717983e-05,"#4A1700"
"161",360,"1500",1.10583095587974e-05,"#4A1700"
"162",361,"1500",1.17417700621489e-05,"#4A1700"
"163",362,"1500",1.24628649539008e-05,"#4A1700"
"164",363,"1500",1.32233979675993e-05,"#4A1700"
"165",364,"1500",1.40252453307852e-05,"#4A1700"
"166",365,"1500",1.48703580443143e-05,"#4A1700"
"167",366,"1500",1.57607642086841e-05,"#4A1700"
"168",367,"1500",1.66985713975292e-05,"#4A1700"
"169",368,"1500",1.76859690784231e-05,"#4A1700"
"170",369,"1500",1.87252310810989e-05,"#4A1700"
"171",370,"1500",1.98187181131726e-05,"#4A1700"
"172",371,"1500",2.0968880323435e-05,"#4A1700"
"173",372,"1500",2.21782599127425e-05,"#4A1700"
"174",373,"1500",2.34494937925191e-05,"#4A1700"
"175",374,"1500",2.47853162908487e-05,"#4A1700"
"176",375,"1500",2.61885619061142e-05,"#4A1700"
"177",376,"1500",2.76621681081074e-05,"#4A1700"
"178",377,"1500",2.92091781865127e-05,"#4A1700"
"179",378,"1500",3.08327441466332e-05,"#4A1700"
"180",379,"1500",3.25361296522e-05,"#4A1700"
"181",380,"1500",3.43227130150837e-05,"#4A1700"
"182",381,"1500",3.61959902316888e-05,"#4A1700"
"183",382,"1500",3.81595780657883e-05,"#4A1700"
"184",383,"1500",4.02172171775277e-05,"#4A1700"
"185",384,"1500",4.23727752982911e-05,"#4A1700"
"186",385,"1500",4.46302504511027e-05,"#4A1700"
"187",386,"1500",4.69937742162e-05,"#4A1700"
"188",387,"1500",4.94676150413854e-05,"#4A1700"
"189",388,"1500",5.20561815967392e-05,"#4A1700"
"190",389,"1500",5.47640261732409e-05,"#4A1700"
"191",390,"1500",5.75958481248209e-05,"#4A1700"
"192",391,"1500",6.05564973533262e-05,"#4A1700"
"193",392,"1500",6.36509778358699e-05,"#4A1700"
"194",393,"1500",6.68844511939879e-05,"#4A1700"
"195",394,"1500",7.02622403040047e-05,"#4A1700"
"196",395,"1500",7.37898329479834e-05,"#4A1700"
"197",396,"1500",7.7472885504596e-05,"#4A1700"
"198",397,"1500",8.13172266792369e-05,"#4A1700"
"199",398,"1500",8.53288612726498e-05,"#4A1700"
"200",399,"1500",8.95139739873384e-05,"#4A1700"
"201",400,"1500",9.38789332709734e-05,"#4A1700"
"202",401,"1500",9.84302951960049e-05,"#4A1700"
"203",402,"1500",0.000103174807374649,"#4A1700"
"204",403,"1500",0.000108119412908379,"#4A1700"
"205",404,"1500",0.000113271254371055,"#4A1700"
"206",405,"1500",0.000118637677824769,"#4A1700"
"207",406,"1500",0.000124226236867461,"#4A1700"
"208",407,"1500",0.000130044696711359,"#4A1700"
"209",408,"1500",0.000136101038291227,"#4A1700"
"210",409,"1500",0.000142403462401432,"#4A1700"
"211",410,"1500",0.000148960393860757,"#4A1700"
